"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100 ממ",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
14/01/2020,8955,874.28
13/01/2020,8913,3193.85
12/01/2020,8860,125.77
09/01/2020,8879,306.35
08/01/2020,8759,324.17
07/01/2020,8737,468.76
06/01/2020,8644,861.42
05/01/2020,8723,52.34
02/01/2020,8706,588.56
01/01/2020,8681,55.91
31/12/2019,8629,1085.13
30/12/2019,8634,958.02
29/12/2019,8722,214.19
26/12/2019,8657,512.11
25/12/2019,8667,339.64
24/12/2019,8646,730.19
23/12/2019,8630,1270.03
22/12/2019,8580,195.38
19/12/2019,8526,556.34
18/12/2019,8523,402.57
17/12/2019,8504,246.55
16/12/2019,8477,130.59
15/12/2019,8414,66.99
12/12/2019,8381,2526.36
11/12/2019,8302,228.77
10/12/2019,8283,2958.13
09/12/2019,8339,769.48
08/12/2019,8320,58.57
05/12/2019,8238,1424.43
04/12/2019,8243,881.92
03/12/2019,8132,2389.16
02/12/2019,8357,1346.83
01/12/2019,8380,100
28/11/2019,8373,557.77
27/11/2019,8344,1404.35
26/11/2019,8311,230.4
25/11/2019,8249,221.97
24/11/2019,8236,160.88
21/11/2019,8214,475.58
20/11/2019,8253,245.64
19/11/2019,8280,369.82
18/11/2019,8224,389.61
17/11/2019,8255,62.21
14/11/2019,8186,1217.56
13/11/2019,8187,565.38
12/11/2019,8201,767.88
11/11/2019,8153,247.31
10/11/2019,8196,87.87
07/11/2019,8175,696.67
06/11/2019,8122,1821.17
05/11/2019,8135,1137.8
04/11/2019,8147,1446.75
03/11/2019,8090,294.59
31/10/2019,8006,696.84
30/10/2019,7972,657.19
29/10/2019,8020,380.71
28/10/2019,8026,976.58
27/10/2019,7966,51.33
24/10/2019,7876,745.95
23/10/2019,7813,830.64
22/10/2019,7938,360.57
17/10/2019,7913,299.25
16/10/2019,7894,58.09
15/10/2019,7845,315.22
10/10/2019,7679,759.11
07/10/2019,7679,359.63
06/10/2019,7674,87.03
03/10/2019,7504,3737.61
02/10/2019,7547,1208.85
26/09/2019,7737,637.75
25/09/2019,7648,1003.02
24/09/2019,7825,1272.77
23/09/2019,7805,993.55
22/09/2019,7821,57.41
19/09/2019,7895,1031.88
18/09/2019,7826,205.56
16/09/2019,7792,153.21
15/09/2019,7876,46.95
12/09/2019,7897,308.12
11/09/2019,7777,413.82
10/09/2019,7732,211.65
09/09/2019,7835,97.66
08/09/2019,7786,88.45
05/09/2019,7759,246.85
04/09/2019,7667,103.82
03/09/2019,7616,430.8
02/09/2019,7615,116.26
01/09/2019,7655,1.99
29/08/2019,7638,825.99
28/08/2019,7483,414.27
27/08/2019,7609,382.81
26/08/2019,7521,947.27
25/08/2019,7363,109.81
22/08/2019,7700,406.06
21/08/2019,7715,123.66
20/08/2019,7687,85.24
19/08/2019,7686,423.39
18/08/2019,7537,203.95
15/08/2019,7470,1197.82
14/08/2019,7555,1348.24
13/08/2019,7722,3446.48
12/08/2019,7576,719.05
08/08/2019,7569,727.98
07/08/2019,7388,2412.78
06/08/2019,7478,1089.56
05/08/2019,7476,828.91
